wl;motor_pos
902.2499292;7.3134 
902.1193969;7.3265 
901.8700927;7.3397 
901.5449979;7.3529 
901.2414939;7.3661 
900.979696;7.3793 
900.6820651;7.3925 
900.3733768;7.4056 
900.1033368;7.4188 
899.7861058;7.4320 
899.491135;7.4452 
899.2065774;7.4584 
898.9313331;7.4715 
898.6137721;7.4847 
898.2608183;7.4979 
898.0290062;7.5111 
897.7039865;7.5243 
897.401919;7.5375 
897.0794272;7.5506 
896.7958925;7.5638 
896.5021349;7.5770 
896.227645;7.5902 
895.903755;7.6034 
895.6249362;7.6166 
895.3330948;7.6297 
895.0443832;7.6429 
894.7605971;7.6561 
894.4350747;7.6693 
894.1505538;7.6825 
893.8043311;7.6957 
893.4809014;7.7088 
893.1770805;7.7220 
892.8634318;7.7352 
892.543461;7.7484 
892.2448759;7.7616 
891.9859501;7.7747 
891.6864439;7.7879 
891.3921957;7.8011 
891.0757052;7.8143 
890.7877447;7.8275 
890.5332316;7.8407 
890.2355539;7.8538 
889.91278;7.8670 
889.6264175;7.8802 
889.335482;7.8934 
889.0172484;7.9066 
888.6820559;7.9198 
888.3915931;7.9329 
888.1106854;7.9461 
887.787112;7.9593 
887.4803764;7.9725 
887.2226156;7.9857 
886.9369929;7.9989 
886.6579909;8.0120 
886.3655096;8.0252 
886.0757109;8.0384 
885.7982406;8.0516 
885.5034846;8.0648 
885.2041464;8.0779 
884.8905553;8.0911 
884.6105071;8.1043 
884.281891;8.1175 
883.9776522;8.1307 
883.6837433;8.1439 
883.3959236;8.1570 
883.1006223;8.1702 
882.781146;8.1834 
882.5090676;8.1966 
882.2449953;8.2098 
881.9263228;8.2230 
881.6381441;8.2361 
881.3578544;8.2493 
881.1017687;8.2625 
880.8145351;8.2757 
880.5084202;8.2889 
880.1926049;8.3021 
879.9100568;8.3152 
879.5575684;8.3284 
879.2753296;8.3416 
878.9716907;8.3548 
878.6503163;8.3680 
878.3547256;8.3811 
878.0897463;8.3943 
877.8152786;8.4075 
877.5102915;8.4207 
877.2224008;8.4339 
876.9581933;8.4471 
876.6677214;8.4602 
876.3945226;8.4734 
876.0842532;8.4866 
875.8008184;8.4998 
875.50679;8.5130 
875.2085138;8.5262 
874.8853021;8.5393 
874.5867706;8.5525 
874.2711944;8.5657 
873.9692869;8.5789 
873.6772598;8.5921 
873.4020239;8.6053 
873.0916946;8.6184 
872.809975;8.6316 
872.5310241;8.6448 
872.2506273;8.6580 
871.9519492;8.6712 
871.6454076;8.6843 
871.3723578;8.6975 
871.0829632;8.7107 
870.7626097;8.7239 
870.4579816;8.7371 
870.1173748;8.7503 
869.8040863;8.7634 
869.5501785;8.7766 
869.2242086;8.7898 
868.9484071;8.8030 
868.6428705;8.8162 
868.3842346;8.8294 
868.0661455;8.8425 
867.7995582;8.8557 
867.5191478;8.8689 
867.2385921;8.8821 
866.9476297;8.8953 
866.651269;8.9085 
866.3756109;8.9216 
866.0425683;8.9348 
865.7572161;8.9480 
865.4680905;8.9612 
865.1577531;8.9744 
864.8615966;8.9875 
864.5823667;9.0007 
864.3044314;9.0139 
864.018534;9.0271 
863.7277617;9.0403 
863.4583565;9.0535 
863.1814192;9.0666 
862.8929936;9.0798 
862.6119414;9.0930 
862.3420634;9.1062 
862.0484243;9.1194 
861.7315553;9.1326 
861.4658685;9.1457 
861.1254647;9.1589 
860.8280463;9.1721 
860.5446436;9.1853 
860.2614126;9.1985 
859.9617992;9.2117 
859.698166;9.2248 
859.4187715;9.2380 
859.1140227;9.2512 
858.8355275;9.2644 
858.5568495;9.2776 
858.2831803;9.2907 
857.9738204;9.3039 
857.700238;9.3171 
857.4256003;9.3303 
857.0799268;9.3435 
856.8043764;9.3567 
856.4890879;9.3698 
856.2018089;9.3830 
855.9089611;9.3962 
855.6308513;9.4094 
855.3295285;9.4226 
855.0634352;9.4358 
854.8044952;9.4489 
854.5031755;9.4621 
854.2409059;9.4753 
853.9345016;9.4885 
853.6863451;9.5017 
853.3730015;9.5148 
853.0718225;9.5280 
852.8147162;9.5412 
852.4873448;9.5544 
852.1737808;9.5676 
851.8765981;9.5808 
851.5810396;9.5939 
851.2880396;9.6071 
850.99315;9.6203 
850.7205886;9.6335 
850.4253033;9.6467 
850.1614134;9.6599 
849.8738871;9.6730 
849.5799031;9.6862 
849.3112166;9.6994 
849.0054116;9.7126 
848.7240071;9.7258 
848.4421718;9.7390 
848.1154316;9.7521 
847.8082011;9.7653 
847.5029479;9.7785 
847.1968407;9.7917 
846.9329771;9.8049 
846.6386271;9.8180 
846.3843264;9.8312 
846.0783764;9.8444 
845.8374908;9.8576 
845.5411943;9.8708 
845.2592179;9.8840 
844.9930585;9.8971 
844.6776214;9.9103 
844.4162734;9.9235 
844.1264268;9.9367 
843.8205514;9.9499 
843.5128679;9.9631 
843.2321498;9.9762 
842.9368032;9.9894 
842.6543447;10.0026 
842.3822355;10.0158 
842.1083763;10.0290 
841.8130529;10.0422 
841.5609224;10.0553 
841.3018297;10.0685 
841.0053658;10.0817 
840.7513121;10.0949 
840.4501211;10.1081 
840.1679576;10.1212 
839.8962557;10.1344 
839.5818645;10.1476 
839.2560935;10.1608 
839.0048125;10.1740 
838.6998534;10.1872 
838.4334198;10.2003 
838.1625957;10.2135 
837.8754172;10.2267 
837.6058179;10.2399 
837.3256069;10.2531 
837.0671646;10.2663 
836.7631319;10.2794 
836.5148296;10.2926 
836.2161776;10.3058 
835.9285946;10.3190 
835.6634624;10.3322 
835.352108;10.3454 
835.0466741;10.3585 
834.7854661;10.3717 
834.4788606;10.3849 
834.2084446;10.3981 
833.934466;10.4113 
833.6433939;10.4244 
833.3833708;10.4376 
833.1425828;10.4508 
832.8519283;10.4640 
832.5552585;10.4772 
832.3146792;10.4904 
832.0102346;10.5035 
831.7279668;10.5167 
831.4370398;10.5299 
831.1416883;10.5431 
830.8480668;10.5563 
830.5402904;10.5695 
830.2513502;10.5826 
830.0085982;10.5958 
829.7043554;10.6090 
829.4197321;10.6222 
829.1749269;10.6354 
828.8783302;10.6486 
828.5936842;10.6617 
828.3570609;10.6749 
828.0464994;10.6881 
827.7607279;10.7013 
827.4640056;10.7145 
827.2101004;10.7276 
826.9216206;10.7408 
826.5872499;10.7540 
826.3347685;10.7672 
826.0361995;10.7804 
825.7447562;10.7936 
825.5123727;10.8067 
825.2253089;10.8199 
824.9365882;10.8331 
824.6906233;10.8463 
824.4184856;10.8595 
824.1345019;10.8727 
823.8789271;10.8858 
823.5911796;10.8990 
823.2968476;10.9122 
823.0039508;10.9254 
822.7022994;10.9386 
822.438825;10.9518 
822.1593193;10.9649 
821.8648427;10.9781 
821.6415427;10.9913 
821.3339838;11.0045 
821.0800107;11.0177 
820.8211119;11.0308 
820.5566636;11.0440 
820.26797;11.0572 
820.0147455;11.0704 
819.7446949;11.0836 
819.474082;11.0968 
819.1817391;11.1099 
818.8949402;11.1231 
818.6170528;11.1363 
