wl;motor_pos
695.0000;18.10506
696.0804;18.04819
697.1608;17.99131
698.24121;17.93444
699.32161;17.87756
700.40201;17.82069
701.48241;17.76381
702.56281;17.70694
703.64322;17.65006
704.72362;17.59319
705.80402;17.53631
706.88442;17.47944
707.96482;17.42256
709.04523;17.36569
710.12563;17.30881
711.20603;17.25194
712.28643;17.19506
713.36683;17.13819
714.44724;17.08131
715.52764;17.02444
716.60804;16.96756
717.68844;16.91069
718.76884;16.85381
719.84925;16.79694
720.92965;16.74006
722.01005;16.68319
723.09045;16.62631
724.17085;16.56944
725.25126;16.51256
726.33166;16.45569
727.41206;16.39881
728.49246;16.34194
729.57286;16.28506
730.65327;16.22819
731.73367;16.17131
732.81407;16.11444
733.89447;16.05756
734.97487;16.00069
736.05528;15.94381
737.13568;15.88694
738.21608;15.83006
739.29648;15.77319
740.37688;15.71631
741.45729;15.65944
742.53769;15.60256
743.61809;15.54569
744.69849;15.48881
745.77889;15.43194
746.8593;15.37506
747.9397;15.31819
749.0201;15.26131
750.1005;15.20444
751.1809;15.14756
752.26131;15.09069
753.34171;15.03381
754.42211;14.97694
755.50251;14.92006
756.58291;14.86319
757.66332;14.80631
758.74372;14.74944
759.82412;14.69256
760.90452;14.63569
761.98492;14.57881
763.06533;14.52194
764.14573;14.46506
765.22613;14.40819
766.30653;14.35131
767.38693;14.29444
768.46734;14.23756
769.54774;14.18069
770.62814;14.12381
771.70854;14.06694
772.78894;14.01006
773.86935;13.95319
774.94975;13.89631
776.03015;13.83944
777.11055;13.78256
778.19095;13.72569
779.27136;13.66881
780.35176;13.61194
781.43216;13.55506
782.51256;13.49819
783.59296;13.44131
784.67337;13.38444
785.75377;13.32756
786.83417;13.27069
787.91457;13.21381
788.99497;13.15694
790.07538;13.10006
791.15578;13.04318
792.23618;12.98631
793.31658;12.92943
794.39698;12.87256
795.47739;12.81568
796.55779;12.75881
797.63819;12.70193
798.71859;12.64506
799.79899;12.58818
800.8794;12.53131
801.9598;12.47443
803.0402;12.41756
804.1206;12.36068
805.20101;12.30381
806.28141;12.24693
807.36181;12.19006
808.44221;12.13318
809.52261;12.07631
810.60302;12.01943
811.68342;11.96256
812.76382;11.90568
813.84422;11.84881
814.92462;11.79193
816.00503;11.73506
817.08543;11.67818
818.16583;11.62131
819.24623;11.56443
820.32663;11.50756
821.40704;11.45068
822.48744;11.39381
823.56784;11.33693
824.64824;11.28006
825.72864;11.22318
826.80905;11.16631
827.88945;11.10943
828.96985;11.05256
830.05025;10.99568
831.13065;10.93881
832.21106;10.88193
833.29146;10.82506
834.37186;10.76818
835.45226;10.71131
836.53266;10.65443
837.61307;10.59756
838.69347;10.54068
839.77387;10.48381
840.85427;10.42693
841.93467;10.37006
843.01508;10.31318
844.09548;10.25631
845.17588;10.19943
846.25628;10.14256
847.33668;10.08568
848.41709;10.02881
849.49749;9.97193
850.57789;9.91506
851.65829;9.85818
852.73869;9.80131
853.8191;9.74443
854.8995;9.68756
855.9799;9.63068
857.0603;9.57381
858.1407;9.51693
859.22111;9.46006
860.30151;9.40318
861.38191;9.34631
862.46231;9.28943
863.54271;9.23256
864.62312;9.17568
865.70352;9.11881
866.78392;9.06193
867.86432;9.00506
868.94472;8.94818
870.02513;8.89131
871.10553;8.83443
872.18593;8.77756
873.26633;8.72068
874.34673;8.66381
875.42714;8.60693
876.50754;8.55006
877.58794;8.49318
878.66834;8.43631
879.74874;8.37943
880.82915;8.32256
881.90955;8.26568
882.98995;8.20881
884.07035;8.15193
885.15075;8.09506
886.23116;8.03818
887.31156;7.98131
888.39196;7.92443
889.47236;7.86756
890.55276;7.81068
891.63317;7.75381
892.71357;7.69693
893.79397;7.64006
894.87437;7.58318
895.95477;7.52631
897.03518;7.46943
898.11558;7.41256
899.19598;7.35568
900.27638;7.29881
901.35678;7.24193
902.43719;7.18506
903.51759;7.12818
904.59799;7.07131
905.67839;7.01443
